number	title	labels	assignees	url
49	[Backend][P1] Enforce response DTOs + pagination across routers	backend-api,P1		https://github.com/BartekKrz/make-the-change/issues/49
48	[Backend][P0] Runtime separation (Edge tRPC / Node Stripe webhooks)	backend-api,payments,security,P0		https://github.com/BartekKrz/make-the-change/issues/48
47	[Backend][P0] pg_cron scheduling for annual accrual + expiry warnings	backend-api,database,P0		https://github.com/BartekKrz/make-the-change/issues/47
46	[Backend][P0] Postgres-only rate limiting	backend-api,database,security,P0		https://github.com/BartekKrz/make-the-change/issues/46
45	💰 [ADMIN-MVP-P0][Projects] Investment Tiers manager + grille tarifaire définitive	impact-critical,frontend-web,backend-api,database,effort-complex,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/45
44	🗺️ [ADMIN-MVP-P0][Projects] Géolocalisation Google Maps + adresse	impact-critical,frontend-web,backend-api,database,effort-complex,P0		https://github.com/BartekKrz/make-the-change/issues/44
43	🖼️ [ADMIN-MVP-P0][Projects] Gestion médias (upload/crop/gallery)	impact-critical,frontend-web,backend-api,database,effort-complex,P0		https://github.com/BartekKrz/make-the-change/issues/43
42	🛠️ [ADMIN-MVP-P0][Projects] Éditeur multi-étapes + validation	impact-critical,frontend-web,backend-api,database,effort-complex,P0		https://github.com/BartekKrz/make-the-change/issues/42
41	🏗️ [ADMIN-MVP-P0][Projects] Liste (DataTable) + filtres & recherche	impact-critical,frontend-web,backend-api,database,effort-complex,P0		https://github.com/BartekKrz/make-the-change/issues/41
40	🏗️ [ADMIN-MVP-P0] Setup architecture admin dashboard (Next.js 15.5 + tRPC v11 + Supabase)	impact-critical,frontend-web,backend-api		https://github.com/BartekKrz/make-the-change/issues/40
39	🧭 [MVP-P0] Implémenter navigation bar mobile moderne	frontend-mobile,design-ux		https://github.com/BartekKrz/make-the-change/issues/39
38	💳 [MVP-P0] Implémenter dual billing management (mensuel/annuel + upgrade flow)	impact-critical,frontend-mobile,frontend-web,backend-api,effort-complex,payments,security,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/38
37	🏔️ [EPIC] E-commerce Web Platform - Public Discovery & Purchase (modèle hybride)	impact-high,frontend-web,backend-api,effort-epic,epic	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/37
36	🏔️ [EPIC] Admin Dashboard - Content Creation & Management	impact-critical,frontend-web,backend-api,effort-epic,epic	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/36
